                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                0.25543,                 0.3092,                0.93197,                0.99837,                      1,                  0.995,                  0.995,                0.23665,                0.27332,                0.66605,                0.00406,                0.00406,                0.00406
                    122,                0.27456,                0.35625,                0.91461,                 0.9983,                      1,                  0.995,                  0.995,                 0.2692,                0.26723,                0.67483,              0.0040105,              0.0040105,              0.0040105
                    123,                0.25878,                0.33796,                0.90187,                0.99825,                      1,                  0.995,                  0.995,                0.25666,                0.26983,                0.66951,               0.003961,               0.003961,               0.003961
                    124,                0.27009,                0.33834,                0.92325,                0.99836,                      1,                  0.995,                  0.995,                0.23481,                0.28756,                0.65982,              0.0039115,              0.0039115,              0.0039115
                    125,                0.23609,                0.34752,                0.92275,                0.99821,                      1,                  0.995,                  0.995,                0.25894,                0.28733,                0.66253,               0.003862,               0.003862,               0.003862
                    126,                0.24102,                0.31949,                 0.8936,                0.99839,                      1,                  0.995,                  0.995,                0.23487,                0.30001,                0.64869,              0.0038125,              0.0038125,              0.0038125
                    127,                0.24109,                0.30814,                0.90596,                0.99788,                      1,                  0.995,                  0.995,                 0.2173,                0.28594,                0.63579,               0.003763,               0.003763,               0.003763
                    128,                0.26448,                 0.3298,                0.90789,                0.99939,                      1,                  0.995,                  0.995,                0.21987,                0.46215,                0.64465,              0.0037135,              0.0037135,              0.0037135
                    129,                0.25763,                0.32344,                0.93222,                0.99743,                      1,                  0.995,                0.99053,                0.20941,                0.27804,                0.62506,               0.003664,               0.003664,               0.003664
                    130,                  0.243,                0.31816,                 0.9139,                0.99665,                      1,                  0.995,                  0.995,                0.19165,                0.25294,                0.61625,              0.0036145,              0.0036145,              0.0036145
                    131,                0.24625,                0.31471,                0.89834,                0.99752,                      1,                  0.995,                  0.995,                0.19665,                0.25598,                0.60911,               0.003565,               0.003565,               0.003565
                    132,                0.24303,                0.31698,                0.90828,                0.99778,                      1,                  0.995,                  0.995,                0.19598,                0.25831,                0.60786,              0.0035155,              0.0035155,              0.0035155
                    133,                0.21693,                0.31289,                 0.8718,                0.99801,                      1,                  0.995,                  0.995,                0.19451,                0.26594,                0.61056,               0.003466,               0.003466,               0.003466
                    134,                0.22086,                0.29624,                0.88439,                0.99836,                      1,                  0.995,                  0.995,                0.19395,                 0.2596,                0.61444,              0.0034165,              0.0034165,              0.0034165
                    135,                0.22678,                0.30229,                0.89209,                0.99834,                      1,                  0.995,                  0.995,                 0.1928,                0.25233,                0.61602,               0.003367,               0.003367,               0.003367
                    136,                0.23953,                0.30879,                0.89191,                0.99827,                      1,                  0.995,                  0.995,                0.21758,                 0.2676,                0.63158,              0.0033175,              0.0033175,              0.0033175
                    137,                0.24391,                0.35491,                0.91396,                0.99761,                      1,                  0.995,                  0.995,                0.21182,                0.30089,                 0.6364,               0.003268,               0.003268,               0.003268
                    138,                0.21757,                 0.2974,                0.87901,                0.99686,                      1,                  0.995,                  0.995,                0.21728,                0.35292,                0.64459,              0.0032185,              0.0032185,              0.0032185
                    139,                0.21612,                0.27547,                0.87588,                0.99732,                      1,                  0.995,                  0.995,                0.23137,                0.33592,                0.65645,               0.003169,               0.003169,               0.003169
                    140,                0.22114,                0.29658,                0.87416,                 0.9969,                      1,                  0.995,                  0.995,                0.22423,                0.34561,                 0.6494,              0.0031195,              0.0031195,              0.0031195
                    141,                0.23256,                0.30867,                0.88783,                0.99677,                      1,                  0.995,                  0.995,                0.21344,                0.30049,                0.62816,                0.00307,                0.00307,                0.00307
                    142,                0.22737,                0.30736,                 0.8818,                0.99699,                      1,                  0.995,                  0.995,                0.19162,                0.29621,                0.60686,              0.0030205,              0.0030205,              0.0030205
                    143,                0.22492,                0.29011,                0.90851,                0.99802,                      1,                  0.995,                  0.995,                0.18381,                0.27878,                0.59926,               0.002971,               0.002971,               0.002971
                    144,                0.22067,                0.27423,                0.89351,                0.99839,                      1,                  0.995,                  0.995,                0.18585,                  0.271,                0.59422,              0.0029215,              0.0029215,              0.0029215
                    145,                0.21742,                0.26424,                0.88022,                0.99837,                      1,                  0.995,                0.99171,                0.19193,                0.30019,                0.58702,               0.002872,               0.002872,               0.002872
                    146,                0.22734,                0.28262,                0.88042,                0.99842,                      1,                  0.995,                  0.995,                0.17187,                0.28161,                0.58245,              0.0028225,              0.0028225,              0.0028225
                    147,                0.19815,                 0.2632,                 0.8919,                0.99822,                      1,                  0.995,                  0.995,                 0.1719,                0.25392,                0.58613,               0.002773,               0.002773,               0.002773
                    148,                0.20597,                0.27937,                 0.8759,                0.99666,                      1,                  0.995,                  0.995,                0.19327,                0.27513,                0.60384,              0.0027235,              0.0027235,              0.0027235
                    149,                0.18792,                0.26266,                0.87586,                0.96862,                      1,                  0.995,                0.99462,                0.20002,                0.27798,                0.60777,               0.002674,               0.002674,               0.002674
                    150,                0.18005,                0.25764,                 0.8952,                 0.9921,                      1,                  0.995,                0.99406,                0.18264,                0.25991,                0.60002,              0.0026245,              0.0026245,              0.0026245
                    151,                0.20141,                0.26915,                0.87557,                0.99751,                      1,                  0.995,                0.99125,                0.19797,                0.27898,                0.62161,               0.002575,               0.002575,               0.002575
